DATE,IURSA
1971-01-01,3.9615384615384615
1971-04-01,4.0846153846153846
1971-07-01,4.1230769230769231
1971-10-01,4.1000000000000000
1972-01-01,3.6384615384615385
1972-04-01,3.5384615384615385
1972-07-01,3.5000000000000000
1972-10-01,3.1769230769230769
1973-01-01,2.8153846153846154
1973-04-01,2.6692307692307692
1973-07-01,2.7000000000000000
1973-10-01,2.7846153846153846
1974-01-01,3.2076923076923077
1974-04-01,3.2230769230769231
1974-07-01,3.3923076923076923
1974-10-01,4.3615384615384615
1975-01-01,5.9384615384615385
1975-04-01,6.7538461538461538
1975-07-01,5.9923076923076923
1975-10-01,5.2153846153846154
1976-01-01,4.4384615384615385
1976-04-01,4.4692307692307692
1976-07-01,4.6230769230769231
1976-10-01,4.6000000000000000
1977-01-01,4.1923076923076923
1977-04-01,3.9153846153846154
1977-07-01,3.8076923076923077
1977-10-01,3.7285714285714286
1978-01-01,3.6333333333333333
1978-04-01,3.2461538461538462
1978-07-01,3.2785714285714286
1978-10-01,3.0538461538461538
1979-01-01,3.1076923076923077
1979-04-01,2.8769230769230769
1979-07-01,2.9000000000000000
1979-10-01,3.0769230769230769
1980-01-01,3.3538461538461538
1980-04-01,4.0692307692307692
1980-07-01,4.3692307692307692
1980-10-01,3.8230769230769231
1981-01-01,3.4153846153846154
1981-04-01,3.3153846153846154
1981-07-01,3.3846153846153846
1981-10-01,3.8230769230769231
1982-01-01,4.0923076923076923
1982-04-01,4.5384615384615385
1982-07-01,4.8538461538461538
1982-10-01,5.2076923076923077
1983-01-01,4.4153846153846154
1983-04-01,4.1846153846153846
1983-07-01,3.6076923076923077
1983-10-01,3.2785714285714286
1984-01-01,2.8846153846153846
1984-04-01,2.7692307692307692
1984-07-01,2.7615384615384615
1984-10-01,2.8923076923076923
1985-01-01,2.9000000000000000
1985-04-01,2.8307692307692308
1985-07-01,2.8076923076923077
1985-10-01,2.8615384615384615
1986-01-01,2.7846153846153846
1986-04-01,2.8230769230769231
1986-07-01,2.8230769230769231
1986-10-01,2.7846153846153846
1987-01-01,2.5923076923076923
1987-04-01,2.4538461538461538
1987-07-01,2.2923076923076923
1987-10-01,2.1461538461538462
1988-01-01,2.2076923076923077
1988-04-01,2.1000000000000000
1988-07-01,2.1000000000000000
1988-10-01,2.0142857142857143
1989-01-01,2.1083333333333333
1989-04-01,2.0846153846153846
1989-07-01,2.1642857142857143
1989-10-01,2.2000000000000000
1990-01-01,2.2846153846153846
1990-04-01,2.2923076923076923
1990-07-01,2.4153846153846154
1990-10-01,2.7153846153846154
1991-01-01,3.1000000000000000
1991-04-01,3.2692307692307692
1991-07-01,3.1076923076923077
1991-10-01,3.1230769230769231
1992-01-01,3.1461538461538462
1992-04-01,3.1538461538461538
1992-07-01,3.0923076923076923
1992-10-01,2.8153846153846154
1993-01-01,2.5538461538461538
1993-04-01,2.6615384615384615
1993-07-01,2.6692307692307692
1993-10-01,2.6615384615384615
1994-01-01,2.5923076923076923
1994-04-01,2.5692307692307692
1994-07-01,2.4846153846153846
1994-10-01,2.3500000000000000
1995-01-01,2.3166666666666667
1995-04-01,2.3384615384615385
1995-07-01,2.3785714285714286
1995-10-01,2.3923076923076923
1996-01-01,2.3923076923076923
1996-04-01,2.3000000000000000
1996-07-01,2.2000000000000000
1996-10-01,2.1615384615384615
1997-01-01,2.1000000000000000
1997-04-01,2.0000000000000000
1997-07-01,1.9538461538461538
1997-10-01,1.9076923076923077
1998-01-01,1.9076923076923077
1998-04-01,1.8307692307692308
1998-07-01,1.8692307692307692
1998-10-01,1.8230769230769231
1999-01-01,1.8769230769230769
1999-04-01,1.8076923076923077
1999-07-01,1.8000000000000000
1999-10-01,1.7000000000000000
2000-01-01,1.7000000000000000
2000-04-01,1.6000000000000000
2000-07-01,1.6928571428571429
2000-10-01,1.7692307692307692
2001-01-01,1.9769230769230769
2001-04-01,2.2076923076923077
2001-07-01,2.4538461538461538
2001-10-01,2.7846153846153846
2002-01-01,2.7846153846153846
2002-04-01,2.8692307692307692
2002-07-01,2.7615384615384615
2002-10-01,2.7538461538461538
2003-01-01,2.7384615384615385
2003-04-01,2.9000000000000000
2003-07-01,2.8230769230769231
2003-10-01,2.6538461538461538
2004-01-01,2.4538461538461538
2004-04-01,2.3692307692307692
2004-07-01,2.3000000000000000
2004-10-01,2.1692307692307692
2005-01-01,2.1153846153846154
2005-04-01,2.0230769230769231
2005-07-01,2.0461538461538462
2005-10-01,2.1142857142857143
2006-01-01,1.9500000000000000
2006-04-01,1.8692307692307692
2006-07-01,1.8928571428571429
2006-10-01,1.8923076923076923
2007-01-01,1.9230769230769231
2007-04-01,1.8846153846153846
2007-07-01,1.9000000000000000
2007-10-01,2.0076923076923077
2008-01-01,2.1461538461538462
2008-04-01,2.2538461538461538
2008-07-01,2.5076923076923077
2008-10-01,3.0769230769230769
2009-01-01,3.9461538461538462
2009-04-01,4.8230769230769231
2009-07-01,4.5538461538461538
2009-10-01,4.1538461538461538
2010-01-01,3.6846153846153846
2010-04-01,3.6461538461538462
2010-07-01,3.5384615384615385
2010-10-01,3.3615384615384615
2011-01-01,3.0615384615384615
2011-04-01,3.0076923076923077
2011-07-01,2.9769230769230769
2011-10-01,2.8714285714285714
2012-01-01,2.6769230769230769
2012-04-01,2.6000000000000000
2012-07-01,2.6000000000000000
2012-10-01,2.5384615384615385
2013-01-01,2.3923076923076923
2013-04-01,2.3230769230769231
2013-07-01,2.2846153846153846
2013-10-01,2.2000000000000000
2014-01-01,2.1692307692307692
2014-04-01,2.0307692307692308
2014-07-01,1.8923076923076923
2014-10-01,1.8076923076923077
2015-01-01,1.7692307692307692
2015-04-01,1.7000000000000000
2015-07-01,1.7000000000000000
2015-10-01,1.6153846153846154
2016-01-01,1.6000000000000000
2016-04-01,1.6000000000000000
2016-07-01,1.5769230769230769
2016-10-01,1.5000000000000000
2017-01-01,1.4583333333333333
2017-04-01,1.4000000000000000
2017-07-01,1.4000000000000000
2017-10-01,1.3692307692307692
2018-01-01,1.3230769230769231
2018-04-01,1.2307692307692308
2018-07-01,1.2000000000000000
2018-10-01,1.2000000000000000
2019-01-01,1.2000000000000000
2019-04-01,1.2000000000000000
2019-07-01,1.2000000000000000
2019-10-01,1.2000000000000000
2020-01-01,1.5692307692307692
2020-04-01,13.4384615384615385
2020-07-01,9.7923076923076923
2020-10-01,4.4307692307692308
2021-01-01,3.1727272727272727
