DATE,UEMPMEAN
1948-01-01,8.6666666666666667
1948-04-01,8.8000000000000000
1948-07-01,8.6333333333333333
1948-10-01,8.4666666666666667
1949-01-01,8.2666666666666667
1949-04-01,9.3000000000000000
1949-07-01,11.1666666666666667
1949-10-01,11.4333333333333333
1950-01-01,11.8333333333333333
1950-04-01,12.8000000000000000
1950-07-01,12.3000000000000000
1950-10-01,11.2333333333333333
1951-01-01,10.5000000000000000
1951-04-01,9.7333333333333333
1951-07-01,9.1333333333333333
1951-10-01,9.3000000000000000
1952-01-01,8.8333333333333333
1952-04-01,8.0333333333333333
1952-07-01,7.7333333333333333
1952-10-01,9.1333333333333333
1953-01-01,8.7333333333333333
1953-04-01,7.9666666666666667
1953-07-01,7.6666666666666667
1953-10-01,7.7000000000000000
1954-01-01,9.6000000000000000
1954-04-01,11.6000000000000000
1954-07-01,12.7333333333333333
1954-10-01,13.3000000000000000
1955-01-01,13.6666666666666667
1955-04-01,14.0333333333333333
1955-07-01,12.6000000000000000
1955-10-01,11.6000000000000000
1956-01-01,11.9333333333333333
1956-04-01,10.5000000000000000
1956-07-01,11.4333333333333333
1956-10-01,11.3000000000000000
1957-01-01,10.6333333333333333
1957-04-01,10.4000000000000000
1957-07-01,10.1333333333333333
1957-10-01,10.6333333333333333
1958-01-01,10.9000000000000000
1958-04-01,13.2000000000000000
1958-07-01,15.6000000000000000
1958-10-01,16.2000000000000000
1959-01-01,15.7000000000000000
1959-04-01,14.8333333333333333
1959-07-01,13.9000000000000000
1959-10-01,13.0333333333333333
1960-01-01,13.2000000000000000
1960-04-01,12.1333333333333333
1960-07-01,12.5666666666666667
1960-10-01,13.2666666666666667
1961-01-01,13.8000000000000000
1961-04-01,15.7666666666666667
1961-07-01,16.8000000000000000
1961-10-01,16.2333333333333333
1962-01-01,15.4333333333333333
1962-04-01,15.1666666666666667
1962-07-01,14.4000000000000000
1962-10-01,13.6666666666666667
1963-01-01,14.1333333333333333
1963-04-01,14.3333333333333333
1963-07-01,14.0333333333333333
1963-10-01,13.5000000000000000
1964-01-01,13.4000000000000000
1964-04-01,13.2000000000000000
1964-07-01,13.4666666666666667
1964-10-01,13.1000000000000000
1965-01-01,12.2666666666666667
1965-04-01,11.3666666666666667
1965-07-01,11.8000000000000000
1965-10-01,11.7333333333333333
1966-01-01,11.4000000000000000
1966-04-01,10.2333333333333333
1966-07-01,9.8666666666666667
1966-10-01,9.8333333333333333
1967-01-01,9.1333333333333333
1967-04-01,8.6000000000000000
1967-07-01,8.5333333333333333
1967-10-01,8.7333333333333333
1968-01-01,8.8666666666666667
1968-04-01,8.2666666666666667
1968-07-01,8.3000000000000000
1968-10-01,8.2333333333333333
1969-01-01,7.9666666666666667
1969-04-01,7.8333333333333333
1969-07-01,7.9000000000000000
1969-10-01,7.8666666666666667
1970-01-01,8.0666666666666667
1970-04-01,8.4666666666666667
1970-07-01,8.8666666666666667
1970-10-01,9.2666666666666667
1971-01-01,10.5000000000000000
1971-04-01,11.2333333333333333
1971-07-01,11.6333333333333333
1971-10-01,12.0333333333333333
1972-01-01,12.2666666666666667
1972-04-01,12.3666666666666667
1972-07-01,11.9000000000000000
1972-10-01,11.5000000000000000
1973-01-01,10.7000000000000000
1973-04-01,9.9000000000000000
1973-07-01,9.6000000000000000
1973-10-01,9.8666666666666667
1974-01-01,9.6000000000000000
1974-04-01,9.7000000000000000
1974-07-01,9.7666666666666667
1974-10-01,9.8666666666666667
1975-01-01,11.4000000000000000
1975-04-01,13.8666666666666667
1975-07-01,15.5666666666666667
1975-10-01,16.1666666666666667
1976-01-01,16.4666666666666667
1976-04-01,15.9333333333333333
1976-07-01,15.5000000000000000
1976-10-01,15.2000000000000000
1977-01-01,14.8000000000000000
1977-04-01,14.5666666666666667
1977-07-01,14.0666666666666667
1977-10-01,13.6333333333333333
1978-01-01,12.6000000000000000
1978-04-01,12.1666666666666667
1978-07-01,11.6000000000000000
1978-10-01,11.1333333333333333
1979-01-01,11.3333333333333333
1979-04-01,10.8333333333333333
1979-07-01,10.4666666666666667
1979-10-01,10.6333333333333333
1980-01-01,10.6666666666666667
1980-04-01,11.2000000000000000
1980-07-01,12.3666666666666667
1980-10-01,13.4666666666666667
1981-01-01,14.1333333333333333
1981-04-01,13.7333333333333333
1981-07-01,13.9333333333333333
1981-10-01,13.2333333333333333
1982-01-01,13.8666666666666667
1982-04-01,15.0333333333333333
1982-07-01,16.0666666666666667
1982-10-01,17.4666666666666667
1983-01-01,19.3333333333333333
1983-04-01,20.2666666666666667
1983-07-01,20.4666666666666667
1983-10-01,19.7000000000000000
1984-01-01,19.5000000000000000
1984-04-01,18.6000000000000000
1984-07-01,17.4333333333333333
1984-10-01,16.8333333333333333
1985-01-01,15.9666666666666667
1985-04-01,15.7333333333333333
1985-07-01,15.3666666666666667
1985-10-01,15.3666666666666667
1986-01-01,14.8666666666666667
1986-04-01,14.8666666666666667
1986-07-01,15.3666666666666667
1986-10-01,15.0666666666666667
1987-01-01,14.8333333333333333
1987-04-01,14.8666666666666667
1987-07-01,14.2666666666666667
1987-10-01,14.0666666666666667
1988-01-01,14.1000000000000000
1988-04-01,13.4000000000000000
1988-07-01,13.5333333333333333
1988-10-01,12.9666666666666667
1989-01-01,12.4333333333333333
1989-04-01,11.8666666666666667
1989-07-01,11.5666666666666667
1989-10-01,11.7333333333333333
1990-01-01,11.7000000000000000
1990-04-01,11.7000000000000000
1990-07-01,12.1666666666666667
1990-10-01,12.3666666666666667
1991-01-01,12.6000000000000000
1991-04-01,13.3666666666666667
1991-07-01,13.9000000000000000
1991-10-01,14.8666666666666667
1992-01-01,16.6333333333333333
1992-04-01,17.8000000000000000
1992-07-01,18.0666666666666667
1992-10-01,18.6000000000000000
1993-01-01,18.0333333333333333
1993-04-01,17.6333333333333333
1993-07-01,17.9333333333333333
1993-10-01,18.3333333333333333
1994-01-01,18.8666666666666667
1994-04-01,19.1000000000000000
1994-07-01,18.8333333333333333
1994-10-01,18.3666666666666667
1995-01-01,17.1333333333333333
1995-04-01,16.8333333333333333
1995-07-01,16.3000000000000000
1995-10-01,16.2333333333333333
1996-01-01,16.6000000000000000
1996-04-01,17.4000000000000000
1996-07-01,16.9333333333333333
1996-10-01,15.9333333333333333
1997-01-01,15.7666666666666667
1997-04-01,15.5000000000000000
1997-07-01,16.1000000000000000
1997-10-01,15.8000000000000000
1998-01-01,15.1666666666666667
1998-04-01,14.5000000000000000
1998-07-01,14.0666666666666667
1998-10-01,14.2000000000000000
1999-01-01,13.5333333333333333
1999-04-01,13.6666666666666667
1999-07-01,13.2666666666666667
1999-10-01,13.0333333333333333
2000-01-01,12.8000000000000000
2000-04-01,12.4333333333333333
2000-07-01,12.8333333333333333
2000-10-01,12.5333333333333333
2001-01-01,12.7666666666666667
2001-04-01,12.4000000000000000
2001-07-01,13.1333333333333333
2001-10-01,14.0333333333333333
2002-01-01,15.0333333333333333
2002-04-01,16.6666666666666667
2002-07-01,17.0000000000000000
2002-10-01,17.9666666666666667
2003-01-01,18.3666666666666667
2003-04-01,19.4333333333333333
2003-07-01,19.4666666666666667
2003-10-01,19.6666666666666667
2004-01-01,19.9333333333333333
2004-04-01,19.9666666666666667
2004-07-01,19.0000000000000000
2004-10-01,19.5333333333333333
2005-01-01,19.3666666666666667
2005-04-01,18.7000000000000000
2005-07-01,17.9666666666666667
2005-10-01,17.6333333333333333
2006-01-01,17.2666666666666667
2006-04-01,16.8000000000000000
2006-07-01,17.1000000000000000
2006-10-01,16.2000000000000000
2007-01-01,16.9333333333333333
2007-04-01,16.6666666666666667
2007-07-01,16.8333333333333333
2007-10-01,16.9666666666666667
2008-01-01,16.9666666666666667
2008-04-01,16.8666666666666667
2008-07-01,17.7666666666666667
2008-10-01,19.5666666666666667
2009-01-01,20.3000000000000000
2009-04-01,22.6666666666666667
2009-07-01,25.6666666666666667
2009-10-01,28.7000000000000000
2010-01-01,30.5666666666666667
2010-04-01,33.9333333333333333
2010-07-01,33.6666666666666667
2010-10-01,34.2000000000000000
2011-01-01,37.9000000000000000
2011-04-01,39.4000000000000000
2011-07-01,40.5333333333333333
2011-10-01,39.7666666666666667
2012-01-01,39.7333333333333333
2012-04-01,39.7000000000000000
2012-07-01,39.5666666666666667
2012-10-01,38.7333333333333333
2013-01-01,36.3333333333333333
2013-04-01,36.5666666666666667
2013-07-01,37.4333333333333333
2013-10-01,36.0666666666666667
2014-01-01,35.6333333333333333
2014-04-01,34.4000000000000000
2014-07-01,32.2000000000000000
2014-10-01,32.5666666666666667
2015-01-01,31.2333333333333333
2015-04-01,30.0000000000000000
2015-07-01,27.4000000000000000
2015-10-01,27.7666666666666667
2016-01-01,28.9333333333333333
2016-04-01,27.6000000000000000
2016-07-01,27.1666666666666667
2016-10-01,26.2666666666666667
2017-01-01,25.4000000000000000
2017-04-01,24.6333333333333333
2017-07-01,25.1000000000000000
2017-10-01,24.9666666666666667
2018-01-01,23.7666666666666667
2018-04-01,21.7000000000000000
2018-07-01,23.2666666666666667
2018-10-01,22.0000000000000000
2019-01-01,21.6000000000000000
2019-04-01,23.0333333333333333
2019-07-01,21.4000000000000000
2019-10-01,20.7666666666666667
2020-01-01,19.9000000000000000
2020-04-01,10.6666666666666667
2020-07-01,19.4333333333333333
2020-10-01,22.6000000000000000
2021-01-01,.
