DATE,CP,CPATAX,A053RC1Q027SBEA
1947-01-01,21.97,9.959,33.466
1947-04-01,20.788,13.603,31.668
1947-07-01,20.564,13.868,31.288
1947-10-01,22.451,14.455,34.123
1948-01-01,23.739,17.971,35.747
1948-04-01,24.941,19.109,37.589
1948-07-01,24.551,18.762,36.959
1948-10-01,23.76,20.713,35.712
1949-01-01,21.683,20.168,32.519
1949-04-01,19.172,19.144,28.692
1949-07-01,19.816,19.987,29.752
1949-10-01,19.457,16.892,29.205
1950-01-01,20.037,16.616,33.477
1950-04-01,23.815,17.781,39.923
1950-07-01,28.777,18.717,48.501
1950-10-01,31.581,20.208,53.221
1951-01-01,26.345,14.668,52.393
1951-04-01,22.589,18.564,44.593
1951-07-01,20.778,21.229,40.666
1951-10-01,22.592,21.114,43.868
1952-01-01,22.062,20.498,41.59
1952-04-01,21.295,19.757,39.667
1952-07-01,21.59,19.764,39.898
1952-10-01,23.752,22.212,43.972
1953-01-01,24.609,22.056,45.893
1953-04-01,24.658,21.133,46.034
1953-07-01,24.201,20.434,45.077
1953-10-01,19.351,17.777,35.591
1954-01-01,21.923,20.412,38.019
1954-04-01,22.529,21.235,39.141
1954-07-01,23.813,22.235,41.473
1954-10-01,25.515,24.565,44.539
1955-01-01,28.583,27.672,49.715
1955-04-01,29.064,28.727,50.444
1955-07-01,29.843,28.289,51.731
1955-10-01,31.115,28.826,53.871
1956-01-01,30.601,27.736,52.285
1956-04-01,31.446,27.546,53.542
1956-07-01,30.211,28.581,50.939
1956-10-01,31.879,28.358,53.735
1957-01-01,32.174,29.315,54.518
1957-04-01,30.883,28.933,52.239
1957-07-01,30.274,28.476,51.138
1957-10-01,27.922,26.315,46.878
1958-01-01,24.236,23.138,40.564
1958-04-01,24.6,23.932,41.276
1958-07-01,27.064,25.851,45.972
1958-10-01,30.458,28.745,52.306
1959-01-01,32.706,31.469,55.502
1959-04-01,35.446,34.115,60.398
1959-07-01,32.441,32.082,54.549
1959-10-01,31.96,33.127,53.368
1960-01-01,34.614,34.445,58.778
1960-04-01,32.312,32.68,54.428
1960-07-01,31.023,32.675,52.155
1960-10-01,29.922,31.378,50.05
1961-01-01,29.223,30.286,49.179
1961-04-01,30.671,33.057,52.095
1961-07-01,32.317,34.527,55.033
1961-10-01,34.595,37.1,59.311
1962-01-01,35.196,39.407,58.34
1962-04-01,35.166,39.661,58.026
1962-07-01,36.205,40.692,59.757
1962-10-01,37.066,43.229,60.694
1963-01-01,36.708,43.477,60.428
1963-04-01,38.652,44.817,64.064
1963-07-01,39.653,45.541,65.769
1963-10-01,40.688,46.235,67.404
1964-01-01,44.409,50.657,70.805
1964-04-01,44.397,50.92,70.797
1964-07-01,45.512,51.459,72.492
1964-10-01,45.174,51.503,71.69
1965-01-01,50.699,57.499,79.043
1965-04-01,52.574,58.813,81.806
1965-07-01,53.517,59.501,83.277
1965-10-01,56.577,62.269,88.313
1966-01-01,58.118,64.668,90.826
1966-04-01,58.576,63.743,91.204
1966-07-01,58.397,62.672,90.553
1966-10-01,57.517,64.476,88.953
1967-01-01,55.152,62.694,85.784
1967-04-01,55.258,61.809,85.602
1967-07-01,56.54,62.608,87.148
1967-10-01,59.497,64.384,91.881
1968-01-01,58.82,61.667,95.276
1968-04-01,60.526,65.05,97.59
1968-07-01,61.024,65.527,98.14
1968-10-01,62.599,66.09,100.619
1969-01-01,61.994,64.775,100.694
1969-04-01,60.335,62.864,97.803
1969-07-01,58.634,61.35,94.702
1969-10-01,57.815,56.844,93.411
1970-01-01,55.323,53.587,86.399
1970-04-01,55.194,57.314,86.35
1970-07-01,56.132,56.24,88.276
1970-10-01,53.35,52.782,84.026
1971-01-01,60.152,62.238,94.536
1971-04-01,62.42,63.423,97.736
1971-07-01,66.544,66.884,101.096
1971-10-01,68.735,70.81,103.715
1972-01-01,72.785,74.377,109.925
1972-04-01,73.825,75.95,111.285
1972-07-01,77.004,79.403,115.772
1972-10-01,83.484,82.677,126.556
1973-01-01,95.547,87.48,141.563
1973-04-01,99.033,85.213,145.069
1973-07-01,101.161,89.045,145.145
1973-10-01,106.253,89.292,152.745
1974-01-01,112.656,85.693,157.26
1974-04-01,115.543,82.261,162.207
1974-07-01,121.06,72.772,172.572
1974-10-01,107.908,73.153,154.068
1975-01-01,94.707,79.438,133.019
1975-04-01,99.406,87.52,140.826
1975-07-01,115.831,97.739,167.855
1975-10-01,124.091,105.682,177.391
1976-01-01,132.702,114.267,193.546
1976-04-01,136.551,113.771,195.931
1976-07-01,138.84,115.767,197.82
1976-10-01,139.091,115.875,197.559
1977-01-01,149.831,121.202,212.751
1977-04-01,158.751,136.491,227.171
1977-07-01,165.143,148.802,235.983
1977-10-01,166.231,142.623,238.067
1978-01-01,171.939,143.746,238.131
1978-04-01,190.742,159.716,270.75
1978-07-01,197.659,165.997,277.887
1978-10-01,209.891,173.409,294.871
1979-01-01,212.498,167.768,294.422
1979-04-01,220.901,170.03,303.013
1979-07-01,225.792,169.036,306.828
1979-10-01,222.428,166.137,300.304
1980-01-01,223.244,152.078,308.632
1980-04-01,194.714,142.114,259.646
1980-07-01,202.262,142.47,274.406
1980-10-01,208.875,155.641,288.347
1981-01-01,213.17,166.212,291.311
1981-04-01,201.614,171.767,270.691
1981-07-01,206.868,186.194,278.516
1981-10-01,203.587,184.542,265.981
1982-01-01,183.468,171.235,234.08
1982-04-01,185.364,183.478,238.1
1982-07-01,180.728,180.462,233.94
1982-10-01,174.574,179.079,223.19
1983-01-01,176.17,194.341,226.41
1983-04-01,195.362,209.357,260.694
1983-07-01,206.519,217.26,280.503
1983-10-01,211.822,232.435,287.942
1984-01-01,220.108,248.172,308.544
1984-04-01,220.957,251.083,308.101
1984-07-01,212.293,258.84,287.037
1984-10-01,213.695,267.523,289.279
1985-01-01,204.768,267.371,285.28
1985-04-01,205.85,272.719,284.662
1985-07-01,209.89,284.113,294.63
1985-10-01,211.649,267.309,294.025
1986-01-01,176.84,252.856,264.68
1986-04-01,172.969,238.165,261.373
1986-07-01,171.499,225.55,261.503
1986-10-01,175.984,213.441,277.22
1987-01-01,187.831,224.31,289.374
1987-04-01,215.335,247.767,330.457
1987-07-01,230.169,266.501,350.053
1987-10-01,239.018,274.545,353.278
1988-01-01,249.639,281.605,362.23
1988-04-01,265.179,288.593,385.181
1988-07-01,264.662,286.1,393.782
1988-10-01,276.88,304.459,412.231
1989-01-01,275.1,286.526,412.27
1989-04-01,268.646,292.879,391.61
1989-07-01,257.909,297.698,376.843
1989-10-01,258.272,282.397,376.892
1990-01-01,268.869,297.117,385.623
1990-04-01,282.342,312.229,404.009
1990-07-01,288.2,282.596,413.339
1990-10-01,289.53,291.708,413.234
1991-01-01,303.293,334.812,423.45
1991-04-01,309.454,336.675,425.449
1991-07-01,314.815,333.806,431.732
1991-10-01,318.455,333.812,436.638
1992-01-01,328.586,347.763,459.017
1992-04-01,340.749,347.262,473.119
1992-07-01,323.237,337.39,451.034
1992-10-01,330.015,348.611,467.072
1993-01-01,328.957,341.907,470.684
1993-04-01,343.279,357.791,497.402
1993-07-01,355.933,379.879,502.315
1993-10-01,375.422,398.502,553.377
1994-01-01,404.995,428.416,560.915
1994-04-01,418.333,443.174,582.456
1994-07-01,439.704,461.204,619.929
1994-10-01,453.102,475.619,643.516
1995-01-01,467.603,473.014,662.349
1995-04-01,491.19,501.361,682.223
1995-07-01,498.739,528.356,696.765
1995-10-01,505.677,544.273,699.668
1996-01-01,524.958,570.595,726.619
1996-04-01,526.924,571.385,740.315
1996-07-01,522.644,576.328,736.36
1996-10-01,534.89,594.137,751.667
1997-01-01,546.764,620.834,764.966
1997-04-01,565.264,639.157,787.741
1997-07-01,587.262,662.439,821.463
1997-10-01,589.208,657.419,813.375
1998-01-01,514.609,590.531,736.753
1998-04-01,512.233,590.486,731.17
1998-07-01,507.761,592.175,733.218
1998-10-01,490.487,573.39,711.168
1999-01-01,523.039,620.58,749.51
1999-04-01,537.853,616.658,761.403
1999-07-01,536.775,596.109,764.385
1999-10-01,556.245,596.749,788.155
2000-01-01,527.574,565.189,770.883
2000-04-01,519.811,556.425,761.52
2000-07-01,513.298,558.414,736.092
2000-10-01,491.81,532.415,717.789
2001-01-01,528.836,559.398,717.433
2001-04-01,551.684,595.285,734.373
2001-07-01,505.61,583.876,668.439
2001-10-01,489.453,615.711,635.928
2002-01-01,538.088,705.127,685.452
2002-04-01,596.152,729.565,749.824
2002-07-01,652.139,752.785,813.945
2002-10-01,725.113,816.675,904.966
2003-01-01,721.524,788.666,921.467
2003-04-01,723.377,828.343,919.833
2003-07-01,763.915,858.038,981.564
2003-10-01,816.612,894.897,1057.618
2004-01-01,928.229,990.974,1179.638
2004-04-01,967.703,1000.078,1239.285
2004-07-01,1010.194,1037.668,1302.93
2004-10-01,1010.647,1014.537,1308.967
2005-01-01,1228.657,1066.312,1604.404
2005-04-01,1252.584,1093.018,1616.546
2005-07-01,1296.981,1112.78,1667.23
2005-10-01,1363.54,1163.425,1772.577
2006-01-01,1387.911,1208.233,1809.292
2006-04-01,1425.152,1210.472,1857.786
2006-07-01,1444.791,1237.405,1896.081
2006-10-01,1398.202,1208.362,1813.484
2007-01-01,1325.943,1110.222,1744.562
2007-04-01,1400.804,1179.661,1814.11
2007-07-01,1345.84,1149.382,1722.347
2007-10-01,1368.063,1126.304,1726.757
2008-01-01,1260.771,1090.441,1558.756
2008-04-01,1285.329,1079.404,1570.559
2008-07-01,1226.043,1101.92,1496.693
2008-10-01,721.414,847.956,891.223
2009-01-01,1082.708,1083.083,1254.684
2009-04-01,1161.627,1088.429,1356.958
2009-07-01,1346.957,1250.078,1553.371
2009-10-01,1462.942,1309.857,1704.953
2010-01-01,1530.604,1386.233,1786.945
2010-04-01,1517.068,1378.523,1779.315
2010-07-01,1600.154,1523.638,1879.334
2010-10-01,1599.159,1537.504,1890.461
2011-01-01,1464.223,1385.233,1749.344
2011-04-01,1529.084,1506.637,1814.197
2011-07-01,1539.465,1562.105,1795.846
2011-10-01,1617.095,1662.068,1913.534
2012-01-01,1880.022,1705.692,2199.909
2012-04-01,1801.743,1672.678,2135.981
2012-07-01,1818.331,1643.707,2160.051
2012-10-01,1785.961,1629.228,2128.47
2013-01-01,1766.372,1622.754,2127.093
2013-04-01,1757.557,1643.068,2114.721
2013-07-01,1792.757,1646.395,2157.51
2013-10-01,1838.838,1679.998,2206.766
2014-01-01,1767.596,1563.708,2171.327
2014-04-01,1865.14,1712.454,2290.948
2014-07-01,1917.769,1793.119,2315.635
2014-10-01,1879.109,1783.305,2279.979
2015-01-01,1770.989,1706.902,2185.428
2015-04-01,1789.321,1689.152,2208.945
2015-07-01,1732.347,1675.564,2123.057
2015-10-01,1635.297,1585.203,1995.626
2016-01-01,1693.864,1661.368,2059.355
2016-04-01,1752.403,1616.782,2128.449
2016-07-01,1743.196,1636.697,2132.103
2016-10-01,1805.959,1675.424,2180.163
2017-01-01,1899.067,1750.796,2212.399
2017-04-01,1885.436,1783.334,2205.061
2017-07-01,1934.366,1813.851,2256.509
2017-10-01,1768.632,1864.736,2058.853
2018-01-01,1900.187,1950.196,2155.961
2018-04-01,1907.847,1947.9,2185.285
2018-07-01,1907.514,1969.834,2195.733
2018-10-01,1899.589,1972.401,2209.692
2019-01-01,1894.367,1886.62,2188.925
2019-04-01,1938.893,1958.237,2243.806
2019-07-01,1920.338,1963.427,2203.38
2019-10-01,2000.736,1998.944,2313.064
2020-01-01,1739.103,1779.48,1994.653
2020-04-01,1557.064,1589.36,1793.842
2020-07-01,2118.856,2018.481,2426.105
2020-10-01,2082.47,1951.445,2425.326
